City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,siasi,5.5462,120.8145,27.61,73,64,2.58,PH,1714872757
1,sault ste. marie,46.5168,-84.3333,16.16,77,0,5.66,CA,1714872731
2,udachny,66.4167,112.4,0.8,99,99,2.91,RU,1714872758
3,egilsstadir,65.2653,-14.3948,4.95,93,75,2.06,IS,1714872758
4,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,1714872598
5,codrington,-38.2667,141.9667,16.59,67,67,4.19,AU,1714872758
6,bikenibeu village,1.3673,173.1241,31.98,70,20,4.63,KI,1714872758
7,wailua homesteads,22.0669,-159.378,26.24,80,40,7.2,US,1714872759
8,ilulissat,69.2167,-51.1,-6.99,86,100,2.06,GL,1714872759
9,waitangi,-43.9535,-176.5597,12.68,85,99,4.02,NZ,1714872759
10,papatowai,-46.5619,169.4708,11.18,69,66,5.92,NZ,1714872759
11,savannah,32.0835,-81.0998,24.41,78,0,3.6,US,1714872732
12,jinghong,21.991,100.7341,31.7,32,21,1.39,CN,1714872760
13,bandarbeyla,9.4942,50.8122,24.44,88,100,8.39,SO,1714872710
14,guane,22.2025,-84.0875,24.05,82,0,1.8,CU,1714872760
15,west island,-12.1568,96.8225,24.99,94,75,8.23,CC,1714872760
16,kralendijk,12.15,-68.2667,27.99,89,40,5.14,BQ,1714872637
17,longyearbyen,78.2186,15.6401,-5.09,74,75,1.54,SJ,1714872761
18,nea michaniona,40.4649,22.8613,15.94,75,20,1.03,GR,1714872761
19,saint-philippe,-21.3585,55.7679,21.77,78,81,6.78,RE,1714872761
20,port-aux-francais,-49.35,70.2167,3.45,59,100,7.76,TF,1714872761
21,djambala,-2.5447,14.7533,21.76,83,17,0.9,CG,1714872761
22,revda,56.801,59.9303,-5.32,93,52,3.6,RU,1714872762
23,tiksi,71.6872,128.8694,-3.11,90,100,2.37,RU,1714872762
24,susanville,40.4163,-120.653,5.46,69,47,5.81,US,1714872762
25,vilyuchinsk,52.9306,158.4028,2.15,95,100,2.0,RU,1714872762
